source_name,start_time,avg(e.emissions_quantity),any_value(lat),any_value(lon),capacity,co2_per_m2
Nacogdoches County,2021-01-01,2904.76,31.61778249058363,-94.61769504761408,791696.729,0.0037
Berks County,2021-01-01,21185.648,40.41651547931591,-75.92704727873199,5003053.275,0.0042
Lafayette County,2021-01-01,1353.336,39.06502153041538,-93.78902232738037,526919.363,0.0026
Marshall County,2021-01-01,762.286,34.02712781083374,-96.77129890270427,298616.643,0.0026
Owyhee County,2021-01-01,90.283,42.582055712656,-116.170417008492,21246.71,0.0042
Steuben County,2021-01-01,3943.012,42.267968058792555,-77.38400947436573,931334.748,0.0042
Jefferson County,2021-01-01,21961.888,39.58484844099312,-105.24847884754722,8569729.905,0.0026
Appanoose County,2021-01-01,283.715,40.7429488653328,-92.86968921753454,108284.332,0.0026
Harvey County,2021-01-01,1582.457,38.04341415527895,-97.42757334436833,612586.52,0.0026
Houston County,2021-01-01,4771.202,32.459027201094365,-83.6662713972775,1832431.234,0.0026
Natrona County,2021-01-01,2606.232,42.96251669307708,-106.79559755956028,997992.403,0.0026
Eastland County,2021-01-01,373.61,32.32886925013088,-98.83260097387928,206729.627,0.0018
Carteret County,2021-01-01,1362.629,34.79685494796726,-76.51517732327939,523399.654,0.0026
Clayton County,2021-01-01,21683.221,33.54211321099091,-84.35763661869053,8389352.357,0.0026
Johnson County,2021-01-01,307.413,36.45523573922547,-81.85160703585153,47270.189,0.0065
Santa Barbara County,2021-01-01,15949.979,34.37057941886949,-120.01984114638718,6240503.368,0.0026
Randall County,2021-01-01,3429.851,34.965024972436225,-101.89795334440002,1319323.95,0.0026
Morehouse Parish,2021-01-01,827.27,32.82134350712011,-91.80179693016188,198021.696,0.0042
Drew County,2021-01-01,754.007,33.58848477553745,-91.71953778971928,177761.909,0.0042
McKenzie County,2021-01-01,603.11,47.74117254913008,-103.39548080938114,808113.249,0.0007
Greene County,2021-01-01,187.893,31.214384644533624,-88.6380406682888,29422.147,0.0064
Freestone County,2021-01-01,418.193,31.70503538376495,-96.14945775029976,158864.82,0.0026
Bergen County,2021-01-01,48691.14,40.95936294539847,-74.07489356149448,11661115.49,0.0042
Roberts County,2021-01-01,15.426,35.8392113461443,-100.8134807529228,8653.317,0.0018
Lee County,2021-01-01,1372.483,41.746744650630696,-89.2993676420646,526973.258,0.0026
Marion County,2021-01-01,539.566,37.55242156657128,-85.26940183123044,210638.61,0.0026
Marshall County,2021-01-01,1161.948,35.469705218284936,-86.76479977957905,445597.887,0.0026
Caddo Parish,2021-01-01,13761.163,32.58171781120124,-93.88368557062704,5378887.481,0.0026
Canadian County,2021-01-01,4882.986,35.542524924712346,-97.9833693152126,1861215.955,0.0026
Shawnee County,2021-01-01,10087.538,39.0429319176458,-95.7569366883598,3940476.571,0.0026
Washington County,2021-01-01,640.05,31.40797528931146,-88.2077674427752,709039.556,0.0009
Paulding County,2021-01-01,668.477,41.116655492576065,-84.58045947750752,252391.316,0.0026
Bowman County,2021-01-01,40.431,46.11189269192346,-103.52033932353562,41086.353,0.001
Routt County,2021-01-01,528.278,40.484948200487565,-106.99031008012672,202857.384,0.0026
Baker County,2021-01-01,603.424,30.33104743695214,-82.28490773752573,233649.041,0.0026
Caledonia County,2021-01-01,975.942,44.46478495177619,-72.10237709586775,150006.033,0.0065
Bernalillo County,2021-01-01,29834.051,35.05193304156963,-106.6656374075152,11503526.274,0.0026
Kewaunee County,2021-01-01,721.778,44.51654684973769,-87.61638013999575,274698.828,0.0026
Lee County,2021-01-01,5854.976,34.2916671539408,-88.68144570837455,2251227.27,0.0026
Doddridge County,2021-01-01,116.611,39.268445561569195,-80.70779587731552,17936.519,0.0065
Wabash County,2021-01-01,217.458,38.44726563946566,-87.84379306776334,84315.083,0.0026
Titus County,2021-01-01,1812.953,33.2153483836028,-94.96940548952144,705074.353,0.0026
Harper County,2021-01-01,6.947,36.78758785112191,-99.66732816284072,2723.016,0.0026
McMullen County,2021-01-01,14.228,28.35144951069933,-98.56940926262482,40616.852,0.0004
Bucks County,2021-01-01,30690.566,40.338663306268714,-75.1077003722747,7346053.166,0.0042
Lafayette Parish,2021-01-01,11358.913,30.20631551006463,-92.06457630604842,4339604.616,0.0026
Dawson County,2021-01-01,310.784,47.26614093552566,-104.89789668413452,73470.481,0.0042
Butler County,2021-01-01,9252.408,40.911128579333145,-79.91286393330213,2220493.389,0.0042
Greenlee County,2021-01-01,280.077,33.215832989427234,-109.2393604571212,43277.075,0.0065
Allen County,2021-01-01,26692.545,41.09099017982626,-85.066811315943,10194841.213,0.0026
Butte County,2021-01-01,5728.543,39.6671811362143,-121.5997935504384,2207052.505,0.0026
Camden County,2021-01-01,659.659,38.02997281196795,-92.76534124634172,256777.901,0.0026
Grant County,2021-01-01,456.485,32.74059358641034,-108.3797356057122,172750.959,0.0026
Hanover County,2021-01-01,4507.035,37.7610625443121,-77.49275210204613,1743759.129,0.0026
Victoria County,2021-01-01,3287.599,28.79585254555584,-96.9720206349333,1848948.176,0.0018
Newport News Independent City,2021-01-01,14574.56,37.076011472388046,-76.51546864379083,5540406.397,0.0026
Grant Parish,2021-01-01,113.85,31.599833177087103,-92.55858549483598,17403.785,0.0065
Sullivan County,2021-01-01,890.689,39.09085746854478,-87.41308145023753,341425.952,0.0026
Vanderburgh County,2021-01-01,11268.734,38.02456338501697,-87.58632115176266,4312227.19,0.0026
Day County,2021-01-01,298.733,45.36872058094808,-97.60677154986068,113490.952,0.0026
Dickey County,2021-01-01,223.891,46.1089452115426,-98.50677994188376,85110.846,0.0026
Presidio County,2021-01-01,212.394,29.99885114360978,-104.24072827456872,210998.032,0.001
Independence County,2021-01-01,1691.394,35.74193464249603,-91.56954717217374,662712.271,0.0026
Jefferson County,2021-01-01,1487.571,38.30070616974437,-88.92571259918402,573353.331,0.0026
Morris County,2021-01-01,709.778,33.11748033398757,-94.73726960309791,430301.77,0.0016
Schuyler County,2021-01-01,24.169,40.47056790815192,-92.52340108918588,5813.167,0.0042
Lake Michigan,2021-01-01,2415.845,43.97979290330274,-87.29797135931562,932173.767,0.0026
Erath County,2021-01-01,1429.099,32.23666624826894,-98.2194630794365,552066.987,0.0026
Glascock County,2021-01-01,19.918,33.22932955830494,-82.6107229223224,7665.638,0.0026
King County,2021-01-01,8.395,33.61609715072724,-100.25919704141228,3174.276,0.0026
Reeves County,2021-01-01,161.104,31.32522376473738,-103.69583051923534,178114.228,0.0009
Randolph County,2021-01-01,376.801,36.3413478263623,-91.02733370602056,142344.234,0.0026
Taylor County,2021-01-01,783.662,37.36665726266849,-85.32819486576626,301511.048,0.0026
Traill County,2021-01-01,352.367,47.45421272462323,-97.16237535968716,138128.356,0.0026
