source_name,any_value(e.start_time),iso3_country,sum(e.emissions_quantity),capacity,co2_per_m2
Wade Hampton Census Area,2021-01-01,USA,15790.26319,3371.45,4.6835
Nome Census Area,2021-01-01,USA,23453.065740000002,5145.689,4.5578
Kodiak Island Borough,2021-01-01,USA,31083.692120000003,9427.166,3.2972
Northwest Arctic Borough,2021-01-01,USA,1218.1023699999998,432.878,2.814
Matanuska-Susitna Borough,2021-01-01,USA,351916.72575,126190.342,2.7888
Kenai Peninsula Borough,2021-01-01,USA,261385.24602,122725.55,2.1298
Aleutians East Borough,2021-01-01,USA,13010.16405,7503.501,1.7339
Haines Borough,2021-01-01,USA,30.019890000000004,17.664,1.6995
Skagway-Yakutat-Angoon Census Area,2021-01-01,USA,4413.35374,2693.484,1.6385
Bethel Census Area,2021-01-01,USA,26174.999539999993,17174.321,1.5241
Ketchikan Gateway Borough,2021-01-01,USA,41649.84611,27564.285,1.511
Sitka City and Borough,2021-01-01,USA,24688.42951000001,17462.796,1.4138
Prince of Wales-Outer Ketchi Census Area,2021-01-01,USA,7189.748789999999,5472.324,1.3138
Dillingham Census Area,2021-01-01,USA,7202.488959999999,5664.624,1.2715
Wrangell-Petersburg Census Area,2021-01-01,USA,14878.223930000004,15760.262,0.944
Aleutians West Census Area,2021-01-01,USA,44196.768350000006,52834.237,0.8365
Valdez-Cordova Census Area,2021-01-01,USA,41973.53620999997,51219.471,0.8195
Southeast Fairbanks Census Area,2021-01-01,USA,19958.702760000004,24652.43,0.8096
Denali Borough,2021-01-01,USA,3874.922750000001,5473.521,0.7079
Buffalo County,2021-01-01,USA,4.792490000000002,8.556,0.5601
Martin County,2021-01-01,USA,4308.99562,8077.199,0.5335
Clear Creek County,2021-01-01,USA,12166.931149999999,23357.118,0.5209
Shannon County,2021-01-01,USA,2225.0001599999996,4602.459,0.4834
Gilpin County,2021-01-01,USA,4459.61878,9497.698,0.4695
Todd County,2021-01-01,USA,2154.6081600000007,4640.054,0.4643
Fairbanks North Star Borough,2021-01-01,USA,274679.15959,597976.233,0.4593
Pike County,2021-01-01,USA,39311.54072,88684.295,0.4433
Corson County,2021-01-01,USA,1270.2953,2887.291,0.44
Kings County,2021-01-01,USA,3688102.72702,8446097.989,0.4367
Wheeler County,2021-01-01,USA,3031.99506,7016.344,0.4321
Bronx County,2021-01-01,USA,2205580.6267799996,5139405.956,0.4292
New York County,2021-01-01,USA,3337874.144799999,7870242.108,0.4241
Putnam County,2021-01-01,USA,74625.22234,178074.068,0.4191
Juneau City and Borough,2021-01-01,USA,68383.9969,165648.793,0.4128
Elliott County,2021-01-01,USA,250.38593,613.106,0.4084
Queens County,2021-01-01,USA,3074677.0975299994,7626729.588,0.4031
Knott County,2021-01-01,USA,790.0126300000002,2009.39,0.3932
Rolette County,2021-01-01,USA,9054.817340000001,24525.218,0.3692
Mingo County,2021-01-01,USA,12047.656770000001,32661.779,0.3689
Strafford County,2021-01-01,USA,232523.65363,632124.26,0.3678
Jackson County,2021-01-01,USA,46217.13189999999,130462.975,0.3543
Letcher County,2021-01-01,USA,9111.78757,25731.42,0.3541
Forest County,2021-01-01,USA,11282.63951,32080.43,0.3517
Leslie County,2021-01-01,USA,1369.4666699999993,3908.753,0.3504
San Miguel County,2021-01-01,USA,1202.2542199999998,3432.557,0.3503
Logan County,2021-01-01,USA,24897.920690000003,71954.698,0.346
Tolland County,2021-01-01,USA,178900.17280999993,517423.955,0.3458
Morgan County,2021-01-01,USA,6923.743579999998,20060.551,0.3451
Coos County,2021-01-01,USA,55223.49474999999,160558.84,0.3439
Orange County,2021-01-01,USA,22390.586569999996,65166.699,0.3436
Clay County,2021-01-01,USA,108.09074000000003,314.806,0.3434
McDowell County,2021-01-01,USA,2186.7795300000002,6370.908,0.3432
Lake County,2021-01-01,USA,4370.61869,12772.458,0.3422
Franklin County,2021-01-01,USA,23101.714370000005,68512.077,0.3372
Lake County,2021-01-01,USA,2363.5076200000003,7038.569,0.3358
Essex County,2021-01-01,USA,3793.6651299999994,11308.588,0.3355
Lake of the Woods County,2021-01-01,USA,4677.72309,14046.407,0.333
McCreary County,2021-01-01,USA,2150.4836999999998,6473.028,0.3322
